model,seed_index,K_slope,K_positive,R_slope,R_positive,Phi_slope,Phi_positive,all_three_slopes_positive
M2p_HMM,16,-0.0012901011443171395,False,1.050383191431344,True,0.00013007812499999999,True,False
M2p_HMM,17,0.016611539931963976,True,1.081403852614629,True,0.00012506510416666663,True,True
M2p_HMM,18,-0.0032292880316051402,False,1.074309152761796,True,9.199218750000002e-05,True,False
M2p_HMM,19,0.0002600044824598485,True,1.1382103093094191,True,0.00016243489583333336,True,True
M4_CTRW,0,0.0056988555042298454,True,3.3057426062971356,True,2.4499999999999986e-05,True,True
M4_CTRW,1,-0.0011474778199214164,False,2.9017874256003533,True,1.4888888888888888e-05,True,False
M4_CTRW,2,0.0013901875405869144,True,2.460045802423471,True,1.9893518518518514e-05,True,True
M4_CTRW,3,0.0009478624111459165,True,3.099574523313273,True,1.9787037037037027e-05,True,True
M4_CTRW,4,-0.0017085128249082113,False,3.6752767538990225,True,2.1541666666666664e-05,True,False
M4_CTRW,5,0.0035439084419761437,True,5.087127851344996,True,1.2699074074074074e-05,True,True
M4_CTRW,6,-0.0009120207832555847,False,3.838118120802692,True,1.1453703703703699e-05,True,False
M4_CTRW,7,0.0009767532300431476,True,1.9052145870078967,True,4.986111111111108e-06,True,True
M4_CTRW,8,-0.00036516049573413225,False,0.1686880608488222,True,2.2421296296296293e-05,True,False
M4_CTRW,9,0.0036319511220239678,True,3.5650445218288707,True,2.0847222222222214e-05,True,True
M4_CTRW,10,0.003970249081193828,True,3.142999597020755,True,1.3939814814814816e-05,True,True
M4_CTRW,11,-0.0062772667229358805,False,3.7129397167306664,True,4.444444444444447e-06,True,False
M4_CTRW,12,-0.0019187431761184535,False,6.465773569241933,True,1.2398148148148145e-05,True,False
M4_CTRW,13,-0.0014339475276365545,False,3.824426241418047,True,1.2398148148148145e-05,True,False
M4_CTRW,14,-0.0007622178244507581,False,3.7817672721260185,True,2.1800925925925916e-05,True,False
M4_CTRW,15,0.003829702127819819,True,3.1272070110173105,True,9.694444444444444e-06,True,True
M4_CTRW,16,-0.004027115338200085,False,3.6799000740051797,True,1.3666666666666669e-05,True,False
M4_CTRW,17,0.0022859956968969137,True,4.501204184031398,True,1.9532407407407403e-05,True,True
M4_CTRW,18,0.007537565439611703,True,4.585614155301869,True,2.350462962962962e-05,True,True
M4_CTRW,19,-0.0005905145140517136,False,5.076000374356536,True,1.527314814814814e-05,True,False
M5_AR1,0,-0.009187618708949108,False,0.587717473298568,True,-0.0044250555555555545,False,False
M5_AR1,1,0.008438308076130201,True,0.5858427563371179,True,-0.004591689814814814,False,False
M5_AR1,2,0.07684570105977859,True,0.5822655842329509,True,-0.004317680555555555,False,False
M5_AR1,3,-0.010979902242130963,False,0.5877488461471889,True,-0.0043809305555555554,False,False
M5_AR1,4,0.034108384184423274,True,0.5850281886579124,True,-0.0018995277777777762,False,False
M5_AR1,5,0.02173936993425973,True,0.5818274772344986,True,-0.0031114768518518527,False,False
M5_AR1,6,-0.015631586267689866,False,0.5834201094074629,True,-0.007349773148148146,False,False
M5_AR1,7,0.010139249961980677,True,0.5869016504994488,True,-0.005241296296296295,False,False
M5_AR1,8,-0.0002086058808152575,False,0.5865396236248481,True,-0.004116773148148147,False,False
M5_AR1,9,-0.009507947194369147,False,0.5789154382539744,True,-0.006511717592592594,False,False
M5_AR1,10,0.036692211105006325,True,0.5830527224075243,True,-0.005642236111111109,False,False
M5_AR1,11,-0.019115030717494055,False,0.5903343546308939,True,-0.006718115740740739,False,False
M5_AR1,12,0.005083103242538204,True,0.5937430535146387,True,-0.007767638888888892,False,False
M5_AR1,13,-0.03655015418896948,False,0.5858841699294193,True,-0.001027592592592591,False,False
M5_AR1,14,0.0162610413169364,True,0.583934944511625,True,-0.006202356481481482,False,False
M5_AR1,15,0.019752283566273256,True,0.5823714185059278,True,-0.0062746157407407395,False,False
M5_AR1,16,-0.036115329266022816,False,0.5845270349883662,True,-0.007086703703703702,False,False
M5_AR1,17,0.048888192221277396,True,0.5856648004425212,True,-0.00415834722222222,False,False
M5_AR1,18,0.011623984112994054,True,0.5884020232390474,True,-0.0034418194444444444,False,False
M5_AR1,19,0.009608501886796622,True,0.5880096772741732,True,-0.00476571296296296,False,False
