model,Pi_B,seed_index,seed,K,R,Phi
M3_ODC,0.7000000000000001,8,1070008,0.5414836380339726,1.4106704451252956,0.007217187500000001
M3_ODC,0.7000000000000001,9,1070009,0.49136358464831686,1.4662363531386329,0.0064312499999999995
M3_ODC,0.7000000000000001,10,1070010,0.4614493580701174,1.3889272070958618,0.006138671875
M3_ODC,0.7000000000000001,11,1070011,0.5046629810416459,1.4323276400912763,0.006773046875000001
M3_ODC,0.7000000000000001,12,1070012,0.45776562295634904,1.4568673566938068,0.0065796875000000005
M3_ODC,0.7000000000000001,13,1070013,0.4647329654188366,1.4057866345948646,0.006939062499999998
M3_ODC,0.7000000000000001,14,1070014,0.44510850440333644,1.4319052366165859,0.0059417968750000005
M3_ODC,0.7000000000000001,15,1070015,0.471779128256839,1.5383669767140884,0.007451562500000002
M3_ODC,0.7000000000000001,16,1070016,0.45237003395355735,1.4482360592027117,0.006538671875000001
M3_ODC,0.7000000000000001,17,1070017,0.4957167490054757,1.4683133724929656,0.007976171874999998
M3_ODC,0.7000000000000001,18,1070018,0.47571029688821714,1.429929448078937,0.007794921874999999
M3_ODC,0.7000000000000001,19,1070019,0.4751199842907585,1.4766904969277301,0.005037499999999999
M3_ODC,0.8,0,1080000,0.44881343982329114,1.6353529513639318,0.006999999999999999
M3_ODC,0.8,1,1080001,0.4428141798885862,1.5866493075389687,0.0075171874999999996
M3_ODC,0.8,2,1080002,0.516217874754028,1.5237681492830348,0.007398046875000001
M3_ODC,0.8,3,1080003,0.4962490955116945,1.6388722689584785,0.006859374999999999
M3_ODC,0.8,4,1080004,0.46462847266601026,1.6179180326786233,0.007826562499999998
M3_ODC,0.8,5,1080005,0.46500651171738905,1.5833596420919525,0.0074078124999999995
M3_ODC,0.8,6,1080006,0.4523406782255101,1.5771629112340366,0.007294921875000001
M3_ODC,0.8,7,1080007,0.4674654567503189,1.5569482776144707,0.006366796875
M3_ODC,0.8,8,1080008,0.43522890338396525,1.6172437480530468,0.007164062500000001
M3_ODC,0.8,9,1080009,0.5178073860787232,1.5231744904762226,0.008644921875000001
M3_ODC,0.8,10,1080010,0.4295245127806765,1.6578516851510972,0.0070042968750000005
M3_ODC,0.8,11,1080011,0.47597679946288196,1.5631393489158818,0.005773046875000001
M3_ODC,0.8,12,1080012,0.46430434275231597,1.5437606914924418,0.007504296875000002
