model,Pi_B,observable,n,mean,sd,ci95_low,ci95_high
M4_CTRW,0.2,Phi,20,2.0569444444444446e-06,2.058072487042992e-06,1.1549544076490083e-06,2.9589344812398808e-06
M4_CTRW,0.30000000000000004,K,20,1.0005082944791859,0.002761387738424155,0.9992980629428971,1.0017185260154746
M4_CTRW,0.30000000000000004,R,20,1.6465540122902567,0.7517232451117465,1.3170967741282826,1.9760112504522307
M4_CTRW,0.30000000000000004,Phi,20,3.0361111111111115e-06,2.3257342842667225e-06,2.016813119495558e-06,4.055409102726665e-06
M4_CTRW,0.4,K,20,1.0000887947252122,0.002705885509642956,0.9989028881131891,1.0012747013372352
M4_CTRW,0.4,R,20,1.7067051368235453,0.2816339208150278,1.583273628847955,1.8301366447991356
M4_CTRW,0.4,Phi,20,4.4291666666666665e-06,3.7207214723563766e-06,2.7984885837104016e-06,6.059844749622931e-06
M4_CTRW,0.5,K,20,0.9997199390417988,0.002461646303491593,0.9986410749814498,1.0007988031021477
M4_CTRW,0.5,R,20,1.9056564963418168,0.4768833125793441,1.6966531695063287,2.1146598231773046
M4_CTRW,0.5,Phi,20,5.147222222222223e-06,4.591253125581065e-06,3.135016820443526e-06,7.1594276240009206e-06
M4_CTRW,0.6000000000000001,K,20,1.0000629573832664,0.0024227750635881736,0.999001129394937,1.0011247853715959
M4_CTRW,0.6000000000000001,R,20,2.7223709223756574,1.4344421678701884,2.0936989237342756,3.351042921017039
M4_CTRW,0.6000000000000001,Phi,20,4.906944444444444e-06,3.482660042468976e-06,3.380601383337789e-06,6.4332875055511e-06
M4_CTRW,0.7000000000000001,K,20,1.000758462152842,0.0027028602085999815,0.9995738814374607,1.0019430428682234
M4_CTRW,0.7000000000000001,R,20,2.8388176944326675,0.7351744305828014,2.51661329402051,3.161022094844825
M4_CTRW,0.7000000000000001,Phi,20,9.263888888888887e-06,5.588153631893563e-06,6.814772576522124e-06,1.171300520125565e-05
M4_CTRW,0.8,K,20,1.000228590042229,0.00285241229957357,0.9989784652330952,1.0014787148513629
M4_CTRW,0.8,R,20,3.6748173723595263,1.492891562086118,3.0205287972508863,4.329105947468166
M4_CTRW,0.8,Phi,20,1.2033333333333332e-05,5.427048829644912e-06,9.654824313675179e-06,1.4411842352991485e-05
M4_CTRW,0.9,K,20,1.0006487289562558,0.003033811756373832,0.9993191023298905,1.001978355582621
M4_CTRW,0.9,R,20,4.057993926899068,1.014045944316393,3.613568696794382,4.502419157003755
M4_CTRW,0.9,Phi,20,1.4272222222222223e-05,8.191966619134797e-06,1.0681934553182495e-05,1.786250989126195e-05
M5_AR1,0.1,K,20,1.0024613811780798,0.012260500404295641,0.9970879799590148,1.007834782397145
M5_AR1,0.1,R,20,0.7969387545973721,0.0018508676741284499,0.7961275760737773,0.7977499331209669
M5_AR1,0.1,Phi,20,0.010987994444444444,0.0013927236913712725,0.010377606374279445,0.011598382514609443
M5_AR1,0.2,K,20,0.9981249184398946,0.02330149026114734,0.9879125900645035,1.0083372468152856
M5_AR1,0.2,R,20,0.8241007393064651,0.0016061196578783757,0.8233968263304022,0.824804652282528
M5_AR1,0.2,Phi,20,0.010514066666666665,0.001358399458034839,0.00991872185502877,0.01110941147830456
M5_AR1,0.30000000000000004,K,20,1.0008909283396712,0.020692026344150693,0.9918222479501146,1.0099596087292277
M5_AR1,0.30000000000000004,R,20,0.8553338324100116,0.002977312529274282,0.8540289676616907,0.8566386971583325
M5_AR1,0.30000000000000004,Phi,20,0.009871829166666665,0.001512608882909645,0.009208899094697692,0.010534759238635638
M5_AR1,0.4,K,20,1.0012677730820383,0.017902415994208273,0.9934216933336306,1.009113852830446
M5_AR1,0.4,R,20,0.8905813578828647,0.002719785733217971,0.8893893592292577,0.8917733565364718
M5_AR1,0.4,Phi,20,0.010013747222222221,0.0010644807149818292,0.00954721797929258,0.010480276465151863
M5_AR1,0.5,K,20,1.0064910185515674,0.018623661435552927,0.9983288390514392,1.0146531980516955
M5_AR1,0.5,R,20,0.9330407092482161,0.0023088134993500434,0.9320288271175606,0.9340525913788716
M5_AR1,0.5,Phi,20,0.00933501111111111,0.0012123779286634716,0.008803663056380376,0.009866359165841845
M5_AR1,0.6000000000000001,K,20,1.0056769742247662,0.029152020576459416,0.9929005378854407,1.0184534105640917
M5_AR1,0.6000000000000001,R,20,0.9866485125766931,0.002702125829727123,0.9854642537170436,0.9878327714363425
M5_AR1,0.6000000000000001,Phi,20,0.009116908333333335,0.0008233612025858711,0.00875605437600581,0.009477762290660859
M5_AR1,0.7000000000000001,K,20,1.004429191603488,0.025256820393005874,0.9933599020138122,1.0154984811931638
M5_AR1,0.7000000000000001,R,20,1.0562544753005072,0.0031003826674005325,1.0548956726859955,1.057613277915019
M5_AR1,0.7000000000000001,Phi,20,0.008234954166666666,0.0012687345952958164,0.007678906713771188,0.008791001619562143
M5_AR1,0.8,K,20,1.0043196941252535,0.028801495571309312,0.9916968821428366,1.0169425061076705
M5_AR1,0.8,R,20,1.1524169920067675,0.0030651426469921017,1.1510736340121634,1.1537603500013716
M5_AR1,0.8,Phi,20,0.007696556944444444,0.0011204032423176738,0.007205518573285881,0.008187595315603008
M5_AR1,0.9,K,20,1.0070851792116169,0.034690704177009285,0.9918813077570997,1.0222890506661342
M5_AR1,0.9,R,20,1.3046343059887986,0.0050956918363012195,1.30240102057448,1.3068675914031171
M5_AR1,0.9,Phi,20,0.006716444444444444,0.0011371226888166918,0.006218078452777958,0.007214810436110931
